Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,93.52,99.44,92.57,98.15,48070200,98.15
2014-06-02,633.96,651.26,89.65,92.93,59813900,92.93
2014-05-01,592.00,644.17,580.33,633.00,74996300,90.43
2014-04-01,537.76,599.43,511.33,590.09,82044000,83.83
2014-03-03,523.42,549.00,522.81,536.74,61552000,76.25
2014-02-03,502.61,551.19,499.30,526.24,82267500,74.76
2014-01-02,555.68,560.20,493.55,500.60,109889900,70.69
2013-12-02,558.00,575.14,538.80,561.02,86672400,79.23
2013-11-01,524.02,558.33,512.38,556.07,69291000,78.53
2013-10-01,478.45,539.25,478.28,522.70,88189400,73.39
2013-09-03,493.10,507.92,447.22,476.75,111138700,66.94
2013-08-01,455.75,513.74,453.26,487.22,94666300,68.41
2013-07-01,402.69,457.34,401.22,452.53,77966700,63.12
2013-06-03,450.73,454.43,388.87,396.53,94963100,55.31
2013-05-01,444.46,465.75,418.90,449.73,111725300,62.73
2013-04-01,441.90,445.25,385.10,442.78,132443500,61.35
2013-03-01,438.00,469.95,419.00,442.66,120246400,61.34
2013-02-01,459.11,484.94,437.66,441.40,127191400,61.16
2013-01-02,553.82,555.00,435.00,455.49,160032800,62.75
2012-12-03,593.65,594.59,501.23,532.17,159903000,73.31
2012-11-01,598.22,603.00,505.75,585.28,158585300,80.63
2012-10-01,671.16,676.75,587.70,595.32,150628900,81.64
2012-09-04,665.76,705.07,656.00,667.10,128080400,91.48
2012-08-01,615.91,680.87,600.25,665.24,93636100,91.23
2012-07-02,584.73,619.87,570.00,610.76,111571100,83.40
2012-06-01,569.16,590.00,548.50,584.00,98539600,79.74
2012-05-01,584.90,596.76,522.18,577.73,131795600,78.89
2012-04-02,601.83,644.00,555.00,583.98,201314100,79.74
2012-03-01,548.17,621.45,516.22,599.55,185402000,81.87
2012-02-01,458.41,547.61,453.98,542.44,154007000,74.07
2012-01-03,409.40,458.24,409.00,456.48,90644200,62.33
