Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,587.65,608.91,572.10,595.44,1785100,595.44
2014-06-02,569.75,589.60,547.47,584.67,1950800,584.67
2014-05-01,534.25,577.66,511.09,571.65,2063200,571.65
2014-04-01,1120.27,1144.80,511.00,534.88,3377400,534.88
2014-03-03,1206.75,1226.99,1102.10,1114.51,4338300,557.81
2014-02-03,1179.20,1228.88,1128.02,1215.65,4507000,608.43
2014-01-02,1115.46,1186.54,1082.27,1180.97,5715900,591.08
2013-12-02,1063.51,1121.00,1049.02,1120.71,3349000,560.92
2013-11-01,1031.79,1068.00,1005.00,1059.59,2742100,530.33
2013-10-01,880.25,1041.52,842.98,1030.58,4939700,515.81
2013-09-03,854.36,905.99,853.95,875.91,3481000,438.39
2013-08-01,895.00,909.71,845.56,846.90,3210200,423.87
2013-07-01,886.45,928.00,875.61,887.75,4851300,444.32
2013-06-03,873.00,910.84,847.22,880.37,5087800,440.63
2013-05-01,823.26,920.60,816.36,871.22,4666700,436.05
2013-04-01,795.01,827.64,761.26,824.57,5072900,412.70
2013-03-01,797.80,844.00,793.30,794.19,4479100,397.49
2013-02-01,758.20,808.97,758.10,801.20,5111200,401.00
2013-01-02,719.42,760.95,695.52,755.69,5141400,378.22
2012-12-03,702.24,729.10,682.33,707.38,4364800,354.04
2012-11-01,679.50,699.22,636.00,698.37,4742100,349.53
2012-10-01,759.05,774.38,669.70,680.30,6977300,340.49
2012-09-04,684.55,764.89,673.50,754.50,6620800,377.63
2012-08-01,637.30,688.99,623.41,685.09,4273000,342.89
2012-07-02,581.82,642.60,562.09,632.97,5057000,316.80
2012-06-01,571.79,587.89,556.52,580.07,4664200,290.33
2012-05-01,603.79,637.85,579.00,580.86,5598100,290.72
2012-04-02,640.77,653.14,590.20,604.85,6122300,302.73
2012-03-01,622.26,658.59,593.84,641.24,4508200,320.94
2012-02-01,584.94,625.60,579.14,618.25,5045000,309.43
2012-01-03,652.94,670.25,564.55,580.11,7570800,290.35
