Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,41.86,45.71,41.05,43.58,34844800,43.58
2014-06-02,40.95,42.29,39.86,41.70,27904700,41.70
2014-05-01,40.24,40.97,38.51,40.94,28996600,40.94
2014-04-01,41.15,41.66,38.90,40.40,37217700,40.12
2014-03-03,37.92,41.50,37.49,40.99,39300500,40.70
2014-02-03,37.74,38.46,35.69,38.31,39290500,38.04
2014-01-02,37.35,37.89,34.63,37.84,48732700,37.30
2013-12-02,38.09,38.98,35.53,37.41,40196200,36.87
2013-11-01,35.67,38.29,35.39,38.13,41126100,37.58
2013-10-01,33.35,36.29,32.80,35.41,43783200,34.64
2013-09-03,31.75,33.75,30.95,33.28,64140000,32.55
2013-08-01,32.06,35.20,30.84,33.40,49729700,32.67
2013-07-01,34.75,36.43,31.02,31.84,52501300,30.93
2013-06-03,34.92,35.78,32.57,34.54,50535000,33.55
2013-05-01,32.93,35.28,32.32,34.90,51273800,33.90
2013-04-01,28.64,33.11,28.11,33.10,70041900,31.93
2013-03-01,27.72,28.66,27.52,28.61,45019900,27.60
2013-02-01,27.67,28.20,27.10,27.80,42969800,26.82
2013-01-02,27.25,28.23,26.28,27.45,56932500,26.26
2012-12-03,26.78,27.73,26.26,26.71,49503000,25.55
2012-11-01,28.84,30.20,26.34,26.62,66390700,25.47
2012-10-01,29.81,30.25,27.76,28.54,55946000,27.08
2012-09-04,30.45,31.61,29.74,29.76,49859800,28.24
2012-08-01,29.59,30.96,28.97,30.82,30797300,29.24
2012-07-02,30.62,31.05,28.54,29.47,42105900,27.78
2012-06-01,28.76,31.14,28.32,30.59,48969400,28.83
2012-05-01,32.05,32.34,28.64,29.19,47886600,27.51
2012-04-02,32.22,32.89,30.23,32.02,48821800,29.99
2012-03-01,31.93,32.95,31.49,32.26,44277900,30.21
2012-02-01,29.79,32.00,29.71,31.74,52182700,29.72
2012-01-03,26.55,29.95,26.39,29.53,70271500,27.47
